line_id,line_name_ja,line_name_en,line_lon,line_lat,line_room,line_sort,deleted
1002,東海道新幹線,,137.72148868198997,35.144121935482794,7,1002,0
1003,山陽新幹線,,133.14789611677998,34.41933769953404,7,1003,0
1004,東北新幹線,,140.76319219429,38.27426693928412,7,1004,0
1005,上越新幹線,,139.12148795051746,36.798564726932156,8,1005,0
1006,上越新幹線(ガーラ湯沢支線),,138.80325037829584,36.9428821124426,14,1006,0
1007,山形新幹線,,140.16847776150996,37.58820880985216,8,1007,0
1008,秋田新幹線,,140.36225377377502,37.75728895294477,7,1008,0
1009,長野新幹線,,138.96031385049628,36.215459233700564,9,1009,0
1010,九州新幹線,,130.5768237942675,32.794280023118354,8,1010,0
11101,JR函館本線(函館～長万部),,140.4833696755387,42.23981411231523,9,11101,0
11102,JR函館本線(長万部～小樽),,140.64288780797756,42.919910231257624,9,11102,0
11103,JR函館本線(小樽～旭川),,141.69791081566132,43.41509739716935,9,11103,0
11104,JR室蘭本線(長万部・室蘭～苫小牧),,141.00639370749377,42.570716742880634,9,11104,0
11105,JR室蘭本線(苫小牧～岩見沢),,141.74449907924247,42.93841714361782,10,11105,0
11106,JR根室本線(滝川～新得),,142.33553315885752,43.35975106210286,10,11106,0
11107,JR根室本線(新得～釧路),,143.56474408569,42.965674701143044,9,11107,0
11108,JR根室本線(釧路～根室),,145.06428821168254,43.127554624234754,9,11108,0
11109,JR千歳線,,141.56756876161444,42.88585086761011,10,11109,0
11110,JR石勝線,,142.1208103432325,42.97760967295123,9,11110,0
11111,JR日高本線,,142.18922814999996,42.43948997730969,9,11111,0
11112,JR札沼線,,141.6575100609375,43.33044877643186,10,11112,0
11113,JR留萌本線,,141.76379195252093,43.84733116708823,10,11113,0
11114,JR富良野線,,142.42933338107753,43.60983839136586,10,11114,0
11115,JR宗谷本線,,142.22561395814,44.65872969562157,8,11115,0
11116,JR石北本線,,143.36294609598497,43.96138769857782,8,11116,0
11117,JR釧網本線,,144.43376556585247,43.52373901301899,9,11117,0
11118,JR海峡線,,140.32904703906252,41.36657456566204,9,11118,0
11119,JR江差線,,140.4168208243981,41.77538189770945,10,11119,0
99643,北条鉄道北条線,,134.86388578710944,34.89497887938063,12,99643,0
99644,智頭急行智頭線,,134.3268127751087,35.094418544210306,10,99644,0
99645,神戸市営地下鉄西神線,,135.06888940733063,34.68307241667748,12,99645,0
99646,神戸市営地下鉄山手線,,135.1714744477539,34.6803221227098,13,99646,0
99647,神戸市営地下鉄海岸線,,135.1688599179688,34.670659049227474,13,99647,0
99648,神戸新交通ポートアイランド線,,135.21260397883782,34.670333538697825,13,99648,0
99649,神戸新交通六甲アイランド線,,135.26778466666997,34.70298944416577,14,99649,0
99650,紀州鉄道線,,135.1561255375732,33.895428111876996,14,99650,0
99651,和歌山電鐵貴志川線,,135.24080185449225,34.22928668108546,12,99651,0
99701,若桜鉄道若桜線,,134.30236431217782,35.37899166666703,12,99701,0
99702,一畑電車北松江線,,132.89720223828124,35.4577473696989,11,99702,0
99703,一畑電車大社線,,132.7302838910157,35.38956500684399,12,99703,0
99704,水島臨海鉄道水島本線,,133.7478599137695,34.56420735349222,13,99704,0
99705,井原鉄道井原線,,133.55749144870128,34.61669576108976,11,99705,0
99706,岡山電軌東山本線,,133.93158823068848,34.66244005774978,15,99706,0
99707,岡山電軌清輝橋線,,133.92400867195408,34.65857080352658,15,99707,0
99708,広島短距離交通瀬野線,,132.59332400529308,34.42745863778749,15,99708,0
99709,広島高速交通広島新交通1号線,,132.433582301476,34.43909912673894,12,99709,0
99710,広電１号線(宇品線),,132.4635322328147,34.38007803057877,13,99710,0
99711,広電２号線(宮島線),,132.38582722414515,34.371507218075855,12,99711,0
99712,広電３号線,,132.45244206002133,34.38152249800238,13,99712,0
99713,広電５号線(皆実線),,132.46766591799474,34.37814055001289,13,99713,0
99714,広電６号線(江波線),,132.45429202036132,34.38857228507065,14,99714,0
99715,広電７号線,,132.4528158105761,34.39504706235791,14,99715,0
99716,広電８号線(横川線),,132.44276496691896,34.39115629199654,14,99716,0
99717,広電９号線(白島線),,132.4641666931152,34.40080871767487,15,99717,0
99718,錦川鉄道錦川清流線,,132.05904670768564,34.20744595108845,11,99718,0
99801,阿佐海岸鉄道阿佐東線,,134.31125740739265,33.57350416961635,13,99801,0
99802,琴電琴平線,,133.96214399465407,34.262127612871126,11,99802,0
99803,琴電長尾線,,134.09736721950844,34.307010048819265,12,99803,0
99804,琴電志度線,,134.1165716035157,34.345151934387715,12,99804,0
99805,伊予鉄道郡中線,,132.72982015348634,33.80853562434977,12,99805,0
99806,伊予鉄道高浜線,,132.72769552695308,33.863703568848045,13,99806,0
99807,伊予鉄道横河原線,,132.82353333014657,33.81259212826529,12,99807,0
99808,伊予鉄道１系統,,132.76223714813045,33.84489561752774,14,99808,0
99809,伊予鉄道２系統,,132.76266630157284,33.84375502537703,15,99809,0
99810,伊予鉄道３系統,,132.77226810677917,33.84300174199304,14,99810,0
99811,伊予鉄道５系統,,132.7686248624268,33.843611419008724,14,99811,0
99812,伊予鉄道６系統,,132.7694636455078,33.8480866024301,14,99812,0
