station_id,station_name_ja,station_name_en,line_id,city_id,zip_code,station_address_ja,station_address_en,station_lon,station_lat,station_sort,deleted
1110101,函館,Hakodate ,11101,1,040-0063,北海道函館市若松町１２-１３,,140.726413,41.773709,1110101,0
1110102,五稜郭,Goryoukaku ,11101,1,041-0813,函館市亀田本町,,140.733539,41.803557,1110102,0
1110103,桔梗,Kikyou,11101,1,041-1210,北海道函館市桔梗３丁目４１-３６,,140.722952,41.846457,1110103,0
1110104,大中山,Onakayama ,11101,1,041-1121,亀田郡七飯町大字大中山,,140.71358,41.864641,1110104,0
1110105,七飯,Nanae ,11101,1,041-1111,亀田郡七飯町字本町,,140.688556,41.886971,1110105,0
1110106,渡島大野,Oshima Ohno ,11101,1,041-1242,北斗市市渡,,140.646525,41.9054,1110106,0
1110107,仁山,Niyama ,11101,1,041-1101,亀田郡七飯町字仁山,,140.635183,41.930011,1110107,0
1110108,大沼,Onuma ,11101,1,041-1354,北海道亀田郡七飯町字大沼町４,,140.669347,41.971954,1110108,0
1110109,大沼公園,Onumakoen ,11101,1,041-1354,北海道亀田郡七飯町字大沼町８５,,140.669758,41.980958,1110109,0
1110110,赤井川,Akaigawa ,11101,1,049-2142,茅部郡森町字赤井川,,140.642678,42.003267,1110110,0
1110111,駒ケ岳,Komagatake ,11101,1,049-2300,北海道茅部郡森町字駒ヶ岳,,140.610476,42.038809,1110111,0
1110112,東山,Higashiyama ,11101,1,049-2141,茅部郡森町字駒ケ岳,,140.605222,42.06172,1110112,0
1110113,姫川,Himekawa ,11101,1,049-2306,茅部郡森町字姫川,,140.591632,42.081312,1110113,0
1110114,池田園,Ikedaen ,11101,1,041-1352,亀田郡七飯町字軍川,,140.700333,41.990692,1110114,0
1110115,流山温泉,Nagareyama Onsen ,11101,1,041-1351,亀田郡七飯町字東大沼２３６,,140.716358,42.003483,1110115,0
1110116,銚子口,Choshiguchi ,11101,1,041-1351,亀田郡七飯町字東大沼,,140.720656,42.015471,1110116,0
1110117,鹿部,Shikabe ,11101,1,041-1404,茅部郡鹿部町字本別,,140.771393,42.06439,1110117,0
1110118,渡島沼尻,Oshima Numajiri ,11101,1,049-2223,茅部郡森町砂原東４丁目,,140.747596,42.10706,1110118,0
1110119,渡島砂原,Oshima Sunahara ,11101,1,049-2222,茅部郡森町砂原４丁目,,140.689451,42.12164,1110119,0
1110120,掛澗,Kakarima,11101,1,049-2221,茅部郡森町砂原西３丁目,,140.64598,42.119205,1110120,0
1110121,尾白内,Oshironai ,11101,1,049-2301,茅部郡森町字尾白内町,,140.613449,42.111232,1110121,0
1110122,東森,Higashimori ,11101,1,049-2302,茅部郡森町字港町,,140.59353,42.106823,1110122,0
1110123,森,Mori,11101,1,049-2325,茅部郡森町字本町,,140.573846,42.108917,1110123,0
1110124,桂川,Katsuragawa,11101,1,049-2321,茅部郡森町字鷲ノ木町,,140.5427876,42.1156004,1110124,0
1110125,石谷,Ishitani ,11101,1,049-2464,茅部郡森町字本茅部町,,140.506525,42.135519,1110125,0
1110126,本石倉,Honishikura,11101,1,049-2463,茅部郡森町字石倉町,,140.471957,42.159668,1110126,0
1110127,石倉,Ishikura ,11101,1,049-2463,茅部郡森町字石倉町,,140.458436,42.17285,1110127,0
1110128,落部,Otoshibe ,11101,1,049-2562,二海郡八雲町落部,,140.420755,42.187617,1110128,0
1110129,野田生,Nodaoi ,11101,1,049-2672,二海郡八雲町野田生,,140.37586,42.217104,1110129,0
1110130,山越,Yamakoshi ,11101,1,049-2671,二海郡八雲町山越,,140.326593,42.231172,1110130,0
1110131,八雲,Yakumo ,11101,1,049-3107,二海郡八雲町本町,,140.273342,42.253391,1110131,0
1110132,鷲ノ巣,Washinosu ,11101,1,049-3122,二海郡八雲町花浦,,140.269919,42.278389,1110132,0
1110133,山崎,Yamazaki ,11101,1,049-3342,二海郡八雲町山崎,,140.2746,42.314635,1110133,0
1110134,黒岩,Kuroiwa ,11101,1,049-3341,二海郡八雲町黒岩,,140.288173,42.368296,1110134,0
1110135,北豊津,Kitatoyotsu,11101,1,049-3464,山越郡長万部町字豊津,,140.297868,42.400969,1110135,0
1110136,国縫,Kunnui ,11101,1,049-3462,山越郡長万部町字国縫,,140.320885,42.439319,1110136,0
